Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763837694,521621,31808,3,1
5,StockLevel,1763837694,531394,4935,0,1
1,NewOrder,1763837694,536366,129220,0,1
1,NewOrder,1763837694,553468,116769,3,1
1,NewOrder,1763837694,573097,76097,2,1
2,Payment,1763837694,575301,103032,4,1
2,Payment,1763837694,579752,105923,1,1
2,Payment,1763837694,588936,104511,5,1
2,Payment,1763837694,597515,105395,6,1
2,Payment,1763837694,608426,103041,9,1
1,NewOrder,1763837694,618715,52613,7,1
2,Payment,1763837694,627537,92607,8,1
2,Payment,1763837694,649237,81856,2,1
1,NewOrder,1763837694,665622,182695,0,1
1,NewOrder,1763837694,670274,94572,3,1
2,Payment,1763837694,671366,106462,7,1
2,Payment,1763837694,678367,108316,4,1
1,NewOrder,1763837694,685702,82290,1,1
2,Payment,1763837694,693481,101216,5,1
2,Payment,1763837694,702947,100767,6,1
3,OrderStatus,1763837694,711506,4757,9,1
1,NewOrder,1763837694,716293,49842,9,1
2,Payment,1763837694,720204,90484,8,1
3,OrderStatus,1763837694,731131,5335,2,1
5,StockLevel,1763837694,736496,6625,2,1
1,NewOrder,1763837694,743152,107772,2,1
2,Payment,1763837694,764924,94111,3,1
1,NewOrder,1763837694,766174,73676,9,1
1,NewOrder,1763837694,768033,76784,1,1
1,NewOrder,1763837694,777865,59874,7,1
2,Payment,1763837694,786717,81507,4,1
2,Payment,1763837694,794731,83820,5,1
2,Payment,1763837694,803790,83524,6,1
5,StockLevel,1763837694,810728,5356,8,1
1,NewOrder,1763837694,816138,92960,8,1
2,Payment,1763837694,837773,98015,7,1
1,NewOrder,1763837694,839880,67139,9,1
3,OrderStatus,1763837694,844852,3917,1,1
1,NewOrder,1763837694,848340,66793,0,1
1,NewOrder,1763837694,848792,76669,1,1
1,NewOrder,1763837694,850964,71197,2,1
